name,address,phone,id,url,rating,review_count,longitude,latitude,is_closed
Balboa Park,"1549 El Prado San Diego, CA 92101",16192390512,9M_FW_-Ipx93I36w-_ykBg,https://www.yelp.com/biz/balboa-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,5,2105,-117.1531501,32.73450154,FALSE
Civita Park,"7960 Civita Blvd San Diego, CA 92108",,3AEHjqNrTmggA6G9VdhQfg,https://www.yelp.com/biz/civita-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,46,-117.147278,32.778315,FALSE
Waterfront Park,"1600 Pacific Hwy San Diego, CA 92101",16192327275,3unbJeYrn1RmInZGmjp80g,https://www.yelp.com/biz/waterfront-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,242,-117.1724795,32.721952,FALSE
Trolley Barn Park,"Adams Ave And Florida St San Diego, CA 92116",,PvHxIYrmaiFKdWUDTMDzcg,https://www.yelp.com/biz/trolley-barn-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,102,-117.1437888,32.76246318,FALSE
Bay View Park,"413 1st St Coronado, CA 92118",,6IF4VB9-fkv_F-LBvG8ppQ,https://www.yelp.com/biz/bay-view-park-coronado?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,5,42,-117.178967,32.701785,FALSE
Centrum Park,"8578 Lightwave Ave San Diego, CA 92123",,yWKbxeS23evuukvzfnFfOQ,https://www.yelp.com/biz/centrum-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,3.5,22,-117.1383972,32.82803726,FALSE
Presidio Park,"2811 Jackson St San Diego, CA 92110",16196924918,C-qp45deDJqPDio7I-pEGA,https://www.yelp.com/biz/presidio-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,85,-117.195233,32.75671296,FALSE
Kate O Sessions Memorial Park,"5115 Soledad Rd San Diego, CA 92109",18585819927,HI98gaiQU_cd1OcTR3gE7w,https://www.yelp.com/biz/kate-o-sessions-memorial-park-san-diego-2?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,276,-117.2398979,32.811316,FALSE
Murray Ridge Neighborhood Park,"2559 Escondido Ave San Diego, CA 92123",16195258213,C3U5h7EOfa4s7ii-ny5EHg,https://www.yelp.com/biz/murray-ridge-neighborhood-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4,20,-117.1480966,32.79131211,FALSE
Olive Grove Park,"5951 Printwood Way San Diego, CA 92117",,GkQt_QzHIT_WHm2vs5cvIA,https://www.yelp.com/biz/olive-grove-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4,8,-117.1715899,32.8274351,FALSE
Lindbergh Neighborhood Park,"4141-4199 Ashford St San Diego, CA 92111",,UWnZb0eX6ADXxSD-7EJoSg,https://www.yelp.com/biz/lindbergh-neighborhood-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,3.5,14,-117.1628571,32.8186493,FALSE
Mission Bay Park,"2688 E Mission Bay Dr San Diego, CA 92109",16192218900,p3ALMEE3oZTamvu6FcvECQ,https://www.yelp.com/biz/mission-bay-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,276,-117.2100178,32.7898749,FALSE
Torrey Hills Park,"4260 Calle Mejillones San Diego, CA 92130",,GJGldNJka0O1R4y1sTVwjw,https://www.yelp.com/biz/torrey-hills-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,18,-117.2225782,32.91740319,FALSE
Sunset Cliffs Natural Park,"1253 Sunset Cliffs Blvd San Diego, CA 92107",18585819982,uSImc0RtxHPMh7CO0BDUmw,https://www.yelp.com/biz/sunset-cliffs-natural-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,5,935,-117.25567,32.73344,FALSE
Pioneer Park,"1521 Washington Pl San Diego, CA 92101",,X4IA7BPzeRtS6a0yXpAzdw,https://www.yelp.com/biz/pioneer-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4,55,-117.1770812,32.74980158,FALSE
Cabrillo Heights Neighborhood Park,"8308 Hurlbut St San Diego, CA 92123",,Hl8mhpszbUgfg2RefM5SWw,https://www.yelp.com/biz/cabrillo-heights-neighborhood-park-san-diego-2?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,3.5,10,-117.148195,32.805591,FALSE
Torrey Meadows Park,"13499 Torrey Meadows Dr San Diego, CA 92129",,mYEan85cDkeaTkOGpZTDug,https://www.yelp.com/biz/torrey-meadows-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,5,9,-117.1563668,32.96399071,FALSE
Palisades Park,"4960 Ocean Blvd San Diego, CA 92109",,F9Y2Ku_CQFed2MS-01xCrg,https://www.yelp.com/biz/palisades-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,24,-117.2596208,32.80247293,FALSE
Miramar Overlook Park,"11417 Scripps Ranch Blvd San Diego, CA 92131",,jckNan8KP7YGlgxVz9eVcw,https://www.yelp.com/biz/miramar-overlook-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,28,-117.102092,32.921111,FALSE
Lake Murray Community Park,"7001 Murray Park Dr San Diego, CA 92119",,5dYq6n2aTmH001KCLOTP_g,https://www.yelp.com/biz/lake-murray-community-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,41,-117.044199,32.791992,FALSE
Grantville Neighborhood Park,"4601 Vandever Ave San Diego, CA 92120",,wKM5ANep8m4YGv0h3CNioA,https://www.yelp.com/biz/grantville-neighborhood-park-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4,19,-117.095375,32.787282,FALSE
Hilltop Park and Recreation Center,"9711 Oviedo Way San Diego, CA 92129",18585388198,4nOOB8vc7qif_K5FjAG8gw,https://www.yelp.com/biz/hilltop-park-and-recreation-center-san-diego?adjust_creative=hmmCGZSVHTOU9H8cd4CkOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hmmCGZSVHTOU9H8cd4CkOg,4.5,76,-117.118854,32.970904,FALSE
