id,rating,text
Balboa Park,5,"Balboa Park is a must see when coming to San Diego. If you are a resident, it's nice to realize that every time you do come here, there are different things..."
Balboa Park,5,Beautiful grounds even to take a stroll during Covid it's a great place to walk and explore bring your dog they are welcome.
Balboa Park,5,"Beautiful sightseeing in San Diego. Lots of walkways and gorgeous architecture. Lovely landscapes and picturesque views all around. 
The weather was utterly..."
Civita Park,5,"Was invited to child's B-Day party pre Covid-19.
This park is EXCELLENT! Lots of areas for different groups, family friendly and loads of things and..."
Civita Park,5,"Pretty nice park, beautiful design.  Anyone is welcome to stroll through the new park and it's just a very relaxing area.  Nice place to work out.  Hope..."
Civita Park,1,We love Civita Park for its wide open spaces to bring my son to ride his bike and scooter in safety. We were excited for the opening of the new playground...
Waterfront Park,5,"After eating brunch in Little Italy, we decided to walk to Waterfront Park to enjoy the rest of the sunny afternoon. I was surprised to see the park's..."
Waterfront Park,5,"Definitely worth the price of admission.

If you love San Diego and the beautiful bay, this is the place to be to enjoy the views and water.

With a clean..."
Waterfront Park,4,Well First I got here and I was quite amazed at how it was not so crowded and Since the COVID-19 they had the playground closed off and it was an amazing...
Trolley Barn Park,5,What a beautiful and welcoming park!  I have been visiting this park almost every day (except when it was closed due to Covid 19) since I moved to San Diego...
Trolley Barn Park,5,"Lived by this park for 6 years and love it. Great for small community gatherings, birthdays, relaxing and exercising. Leashes pets allowed. Full playground..."
Trolley Barn Park,4,"My family and I had a lovely time here. 

We came on a Saturday evening and played around in the grass and on the play structure. 

There were a good amount..."
Bay View Park,5,I LOVE this spot!!! So beautiful at night!! They are closed for construction right now and I drive by all the time in hopes that they are done with...
Bay View Park,5,I took my kids here on a week day before The 4th of July. Coronado is a very festive city when it comes to the 4th and Christmas time. Nice homes surround...
Bay View Park,4,Definitely a great place for a view. You have to search a bit for some parking but nothing too drastic. Stopped by last week and they are in construction so...
Centrum Park,4,"Nice clean park. It's pretty quiet. The only complaints I have is that they a pet potty area like right next to the children's area. 

The other is that..."
Centrum Park,3,Cute little community park. I've been here a couple of times to enjoy my lunch. It's nestled in between the Ariva apartment complexes. There's a children's...
Centrum Park,5,We go to Centrum park pretty often since one of our friends lives in the complex. It's a great little playground with equipment appropriate for various age...
Presidio Park,5,"Yes, there may be history and there may be trails as other reviewers have noted. I don't know anything about that because Presidio Park is my spot for lazy..."
Presidio Park,4,"Nice park on a hill. Slopes and benches. There are some arches. Good place for a picnic.

Rebel: 4"
Presidio Park,4,This is occasionally one of my favorite places to go.  And other times it's so filled with homeless people and riffraff that it's unsafe to explore and you...
Kate O Sessions Memorial Park,5,"This is such a cute date spot to gather with friends and family at a safe distance and to get out of the house. 

I came here with a few friends to enjoy..."
Kate O Sessions Memorial Park,5,Super cute and popular spot to have a picnic with friends/family. And during covid everyone keeps to themselves/distance! Great view of San Diego
Kate O Sessions Memorial Park,5,5/5 view and park but since quarantine it's been suddenly discovered by all the college kids that aren't from here and is literally packed daily. Tough to...
Murray Ridge Neighborhood Park,5,"Great views, large open field, a playground, tennis courts and a great trail for running around the perimeter of the park. 

Overlooks the 805 freeway and..."
Murray Ridge Neighborhood Park,4,"I come here a lot to play soccer, and every visit there are a certain things I expect to see: 2-3 children playing on the playground, multiple people of all..."
Murray Ridge Neighborhood Park,5,"Great park! Very well taken care of and clean. They have 2 water fountains for a refreshing break on the evening walk. 
On a Sunday morning it was nice to..."
Olive Grove Park,4,"Cute with basketball,  tennis and baseball,  lots of grassy area but picnic tables are few and far between so bring tables and chairs

Had street parking..."
Olive Grove Park,4,"My daughter loves to play at the park and this was close by. As I pulled up, there's a parking lot in front but it was full, so I parked on the street...."
Olive Grove Park,5,"Such a nice little gem to unplug for a few minutes after work. It's got everything you look for in a community park - benches, playground, decently clean..."
Lindbergh Neighborhood Park,3,Well finally got to give this park a Review and what I say is it is not bad for a walk or a jog around !! It has open Bathrooms and lots of green grassy...
Lindbergh Neighborhood Park,4,"Cute park! 
We went on a day that was busy we were in between going to dinner and leaving the bowling alley and we thought this was a perfect place to bring..."
Lindbergh Neighborhood Park,4,"This is a large park that is close to the 805 freeway. There is a very large play structure and 6 slides. There is sand and swings. 

The parking is on the..."
Mission Bay Park,5,"We came here on a weekend trip. I grew up on the water, but no longer live in Cali. It's always a good trip when the beach is involved(at least in my..."
Mission Bay Park,5,"San Diego is most definitely ""America's Finest City."" With absolute perfect weather year-round, it's no wonder people from all over want to come here!..."
Mission Bay Park,4,"Every time I drive by I want to stop and enjoy the park. You notice the by and all the people enjoying it it as you are driving by on the 5 freeway.

You..."
Torrey Hills Park,5,"Super clean park with lots of amenities during the Covid times. All of these places were open- There are 2 basketball courts, soccer field, dirt bike path,..."
Torrey Hills Park,4,Well First of all I was looking for a good and clean park to take my family to so I heard about Torrey Hills Park and I decided on going there !! As I drive...
